"","year","month","date","home","away","h_points","a_points","winner","winning_margin","win_status","h_fg","a_fg","h_fga","a_fga","h_3p","a_3p","h_3pa","a_3pa","h_ft","a_ft","h_fta","a_fta","h_orb","a_orb","h_drb","a_drb","h_trb","a_trb","h_ast","a_ast","h_stl","a_stl","h_blk","a_blk","h_tov","a_tov","h_pf","a_pf","h_tsp","a_tsp","h_efgp","a_efgp","h_ortg","a_ortg","h_drtg","a_drtg"
"82",2016,11,11," SAS"," DET",96,86," SAS",10,"Home",36,32,81,76,9,5,20,25,15,17,19,21,10,9,35,33,45,42,24,14,8,2,2,4,8,11,13,14,0.537,0.504,0.5,0.454,112.2,100.5,100.5,112.2
"83",2016,11,12," IND"," BOS",99,105," BOS",6,"Away",36,35,86,80,6,8,27,25,21,27,28,33,11,15,29,32,40,47,17,22,9,7,9,7,13,13,22,21,0.503,0.555,0.453,0.488,106.3,112.7,112.7,106.3
"84",2016,11,12," NOP"," LAL",99,126," LAL",27,"Away",39,52,90,94,6,16,20,30,15,6,19,7,12,10,30,37,42,47,20,36,4,8,5,5,10,10,10,17,0.503,0.649,0.467,0.638,104.3,132.8,132.8,104.3
"85",2016,11,12," ATL"," PHI",117,96," ATL",21,"Home",48,36,95,83,13,11,32,29,8,13,14,20,15,10,37,29,52,39,31,21,10,14,6,4,16,19,14,20,0.578,0.523,0.574,0.5,117.7,96.6,96.6,117.7
"86",2016,11,12," TOR"," NYK",118,107," TOR",11,"Home",39,44,83,97,7,7,22,23,33,12,38,16,11,17,33,32,44,49,18,19,10,3,6,2,11,16,20,23,0.592,0.514,0.512,0.49,119.6,108.5,108.5,119.6
"87",2016,11,12," CHI"," WAS",106,95," CHI",11,"Home",39,38,97,91,5,4,15,13,23,15,25,18,15,13,37,36,52,49,21,19,7,3,6,7,10,12,20,22,0.491,0.48,0.428,0.44,109.2,97.8,97.8,109.2
"88",2016,11,12," HOU"," SAS",100,106," SAS",6,"Away",34,41,89,76,15,5,47,18,17,19,21,24,16,2,30,33,46,35,22,21,6,6,4,11,14,10,19,19,0.509,0.612,0.466,0.572,107.8,114.3,114.3,107.8
"89",2016,11,12," MIA"," UTA",91,102," UTA",11,"Away",38,40,81,81,5,6,17,20,10,16,19,19,4,6,35,39,39,45,21,12,5,5,4,4,8,9,17,19,0.509,0.571,0.5,0.531,99.2,111.2,111.2,99.2
"90",2016,11,12," MIN"," LAC",105,119," LAC",14,"Away",40,40,89,76,8,11,22,24,17,28,21,37,15,9,24,33,39,42,26,25,11,7,3,4,13,14,31,19,0.534,0.645,0.494,0.599,111.5,126.4,126.4,111.5
"91",2016,11,12," MIL"," MEM",106,96," MIL",10,"Home",36,35,68,78,7,6,18,30,27,20,36,21,5,3,30,29,35,32,20,20,9,8,5,4,12,13,20,26,0.632,0.55,0.581,0.487,114.9,104,104,114.9
"92",2016,11,12," PHO"," BRK",104,122," BRK",18,"Away",40,40,107,84,8,16,33,37,16,26,21,30,17,6,38,49,55,55,23,22,9,6,3,10,12,17,20,19,0.447,0.628,0.411,0.571,96.5,113.2,113.2,96.5
"93",2016,11,13," CLE"," CHO",100,93," CLE",7,"Home",39,36,92,95,14,11,38,29,8,10,15,12,12,10,41,35,53,45,25,23,3,7,8,3,9,5,13,19,0.507,0.464,0.5,0.437,108.1,100.6,100.6,108.1
"94",2016,11,13," MIN"," LAL",125,99," MIN",26,"Home",42,33,80,71,13,8,27,24,28,25,42,30,9,5,35,34,44,39,28,16,10,6,4,5,10,17,19,31,0.635,0.588,0.606,0.521,129.4,102.5,102.5,129.4
"95",2016,11,13," OKC"," ORL",117,119," ORL",2,"Away",47,46,92,86,7,11,25,24,16,16,26,20,12,8,30,30,42,38,22,24,4,4,6,7,10,9,19,20,0.566,0.628,0.549,0.599,121.5,123.6,123.6,121.5
"96",2016,11,13," GSW"," PHO",133,120," GSW",13,"Home",45,46,87,90,16,8,33,24,27,20,31,26,8,8,35,30,43,38,32,27,8,10,7,3,16,13,20,29,0.661,0.591,0.609,0.556,126.3,114,114,126.3
"97",2016,11,14," DET"," OKC",104,88," DET",16,"Home",43,33,92,88,5,5,16,27,13,17,16,22,4,13,43,38,47,51,25,16,4,3,9,6,9,15,14,21,0.525,0.45,0.495,0.403,103.7,87.8,87.8,103.7
"98",2016,11,14," HOU"," PHI",115,88," HOU",27,"Home",44,34,91,90,17,5,40,22,10,15,17,17,16,10,39,29,55,39,20,18,6,10,10,7,17,12,19,17,0.584,0.451,0.577,0.406,118.9,91,91,118.9
"99",2016,11,14," NOP"," BOS",106,105," NOP",1,"Home",35,38,79,95,6,12,21,41,30,17,36,20,8,11,38,33,46,44,16,19,9,9,4,0,16,10,17,27,0.559,0.506,0.481,0.463,106.3,105.3,105.3,106.3
"100",2016,11,14," UTA"," MEM",96,102," MEM",6,"Away",35,36,73,76,8,8,28,21,18,22,22,26,6,14,23,30,29,44,17,13,8,4,1,2,8,16,27,26,0.581,0.583,0.534,0.526,113.5,120.5,120.5,113.5
"101",2016,11,14," LAC"," BRK",127,95," LAC",32,"Home",48,34,90,77,14,10,25,33,17,17,21,22,9,9,34,28,43,37,32,18,17,6,6,2,11,21,22,21,0.64,0.548,0.611,0.506,129.8,97.1,97.1,129.8
"102",2016,11,15," CLE"," TOR",121,117," CLE",4,"Home",44,46,83,96,13,13,33,29,20,12,28,18,10,12,36,28,46,40,26,24,4,11,7,5,17,8,18,25,0.635,0.563,0.608,0.547,122.2,118.2,118.2,122.2
"103",2016,11,15," MIA"," ATL",90,93," ATL",3,"Away",36,37,89,80,7,6,23,17,11,13,14,19,17,6,31,29,48,35,13,18,11,14,7,4,23,19,23,13,0.473,0.526,0.444,0.5,91.9,95,95,91.9
"104",2016,11,15," POR"," CHI",88,113," CHI",25,"Away",34,41,95,98,9,7,34,20,11,24,18,28,15,19,34,48,49,67,17,16,8,7,4,4,11,10,18,19,0.428,0.512,0.405,0.454,90.3,115.9,115.9,90.3
"105",2016,11,16," ORL"," NOP",89,82," ORL",7,"Home",34,30,88,82,10,7,27,21,11,15,19,19,13,9,37,39,50,48,17,19,7,5,7,9,12,17,15,16,0.462,0.454,0.443,0.409,94.2,86.8,86.8,94.2
